study_folder,file_name,file_path,file_type,variable_name,variable_group,data_group
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,sandwich_g,intake,Intake variables
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,water_g,intake,Intake variables
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,sandwich_kcal,intake,Intake variables
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,taste_screen,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,desire_eat_screen,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,hunger_pre,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,fullness_pre,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,desire_eat_pre,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,hunger_post,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,fullness_post,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,desire_eat_post,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-hunger_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-hunger_data.csv",other,hunger,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_hed_salad,questionnaire,Questionnaire data
