study_folder,file_name,file_path,file_type,variable_name,variable_group,data_group
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,id,other,NA
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,cond,other,NA
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,session,other,NA
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,sandwich_g,intake,Intake variables
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,water_g,intake,Intake variables
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,sandwich_kcal,intake,Intake variables
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,taste_screen,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,desire_eat_screen,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,hunger_pre,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,thirst_pre,other,NA
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,fullness_pre,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,desire_eat_pre,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,much_eat_pre,other,NA
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,hunger_post,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,thirst_post,other,NA
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,fullness_post,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,desire_eat_post,questionnaire,Questionnaire data
1988_whole_vs_parts,assay-intake_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",intake,much_eat_post,other,NA
1990_eatdis_salad_preload,assay-hunger_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-hunger_data.csv",other,id,other,NA
1990_eatdis_salad_preload,assay-hunger_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-hunger_data.csv",other,group,other,NA
