study,Dataset,Data group,# variables observed,Total data points,Total missing,% missing overall,Mean % missing by participant,Range of % missing by participant,# complete cases,# participants ≥85% complete
1988_whole_vs_parts,assay-intake_data.csv,All data,18,1836,0,0,0,0.00% - 0.00%,102,102
1988_whole_vs_parts,assay-intake_data.csv,Intake data,3,306,0,0,0,0.00% - 0.00%,102,102
1988_whole_vs_parts,assay-intake_data.csv,Questionnaire data,15,1530,0,0,0,0.00% - 0.00%,102,102
1990_eatdis_salad_preload,assay-hunger_data.csv,All data,5,1620,0,0,0,0.00% - 0.00%,324,324
1990_eatdis_salad_preload,assay-hunger_data.csv,Questionnaire data,5,1620,0,0,0,0.00% - 0.00%,324,324
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,All data,44,4752,4,0.08,0.08,0.00% - 4.55%,105,108
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,Questionnaire data,44,4752,4,0.08,0.08,0.00% - 4.55%,105,108
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,All data,48,3888,135,3.47,3.47,0.00% - 10.42%,54,81
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,Questionnaire data,48,3888,135,3.47,3.47,0.00% - 10.42%,54,81
1990_sociofeed_dannys_dinner,assay-intake_data.csv,All data,108,17280,207,1.2,1.2,0.00% - 19.44%,120,152
1990_sociofeed_dannys_dinner,assay-intake_data.csv,Intake data,62,9920,0,0,0,0.00% - 0.00%,160,160
1990_sociofeed_dannys_dinner,assay-intake_data.csv,Questionnaire data,22,3520,158,4.49,4.49,0.00% - 81.82%,143,151
1990_sociofeed_dannys_dinner,assay-intake_data.csv,Total intake variables,4,640,0,0,0,0.00% - 0.00%,160,160
1990_sss_age_yogurt,assay-demo_data.csv,All data,14,1344,0,0,0,0.00% - 0.00%,96,96
1990_sss_age_yogurt,assay-demo_data.csv,Questionnaire data,9,864,0,0,0,0.00% - 0.00%,96,96
1990_sss_age_yogurt,assay-foodpref_data.csv,All data,132,12672,367,2.9,2.9,0.00% - 42.42%,64,89
1990_sss_age_yogurt,assay-foodpref_data.csv,Questionnaire data,132,12672,367,2.9,2.9,0.00% - 42.42%,64,89
1990_sss_age_yogurt,assay-sss_data.csv,All data,110,21120,34,0.16,0.16,0.00% - 2.73%,169,192
1990_sss_age_yogurt,assay-sss_data.csv,Questionnaire data,110,21120,34,0.16,0.16,0.00% - 2.73%,169,192
1990_sss_age_yogurt,assay-upsit_data.csv,All data,44,4224,10,0.24,0.24,0.00% - 6.82%,89,96
1990_sss_age_yogurt,assay-upsit_data.csv,Questionnaire data,3,288,0,0,0,0.00% - 0.00%,96,96
1991_eatdis,assay-demo_data.csv,All data,13,2340,613,26.2,26.2,0.00% - 69.23%,17,45
1991_eatdis,assay-demo_data.csv,Questionnaire data,3,540,0,0,0,0.00% - 0.00%,180,180
1991_eatdis,assay-questionnaire_data.csv,All data,16,2752,1434,52.11,52.11,6.25% - 68.75%,0,20
1991_eatdis,assay-questionnaire_data.csv,Questionnaire data,16,2752,1434,52.11,52.11,6.25% - 68.75%,0,20
1991_eatdis,study-cafeteria_assay-intake_data.csv,All data,67,5762,1,0.02,0.02,0.00% - 1.49%,85,86
1991_eatdis,study-cafeteria_assay-intake_data.csv,Intake data,6,516,0,0,0,0.00% - 0.00%,86,86
1991_eatdis,study-cafeteria_assay-intake_data.csv,Questionnaire data,52,4472,0,0,0,0.00% - 0.00%,86,86
1991_eatdis,study-cafeteria_assay-intake_data.csv,Total intake variables,2,172,1,0.58,0.58,0.00% - 50.00%,85,85
1991_eatdis,study-cafeteria_calc-timedif_data.csv,All data,16,688,0,0,0,0.00% - 0.00%,43,43
1991_eatdis,study-cafeteria_calc-timedif_data.csv,Questionnaire data,3,129,0,0,0,0.00% - 0.00%,43,43
1991_eatdis,study-foodpref_assay-foodq_data.csv,All data,103,14420,127,0.88,0.88,0.00% - 19.42%,124,138
1991_eatdis,study-foodpref_assay-foodq_data.csv,Questionnaire data,103,14420,127,0.88,0.88,0.00% - 19.42%,124,138
1991_eatdis,study-foodpref_calc-foodinfo_data.csv,All data,6,300,68,22.67,22.67,0.00% - 66.67%,33,33
1991_eatdis,study-foodpref_calc-foodinfo_data.csv,Questionnaire data,6,300,68,22.67,22.67,0.00% - 66.67%,33,33
1991_eatdis,study-foodpref_calc-preference_data.csv,All data,15,2100,0,0,0,0.00% - 0.00%,140,140
1991_eatdis,study-foodpref_calc-preference_data.csv,Questionnaire data,15,2100,0,0,0,0.00% - 0.00%,140,140
1991_eatdis,study-smell_data.csv,All data,11,1562,242,15.49,15.49,0.00% - 36.36%,38,42
1991_eatdis,study-smell_data.csv,Questionnaire data,3,426,0,0,0,0.00% - 0.00%,142,142
1991_eatdis_hourly,assay-vas_data.csv,All data,147,16317,535,3.28,3.28,0.00% - 28.57%,53,102
1991_eatdis_hourly,assay-vas_data.csv,Questionnaire data,147,16317,535,3.28,3.28,0.00% - 28.57%,53,102
1991_eatdis_yogurt,assay-intake_data.csv,All data,160,12960,220,1.7,1.7,0.00% - 12.50%,59,81
1991_eatdis_yogurt,assay-intake_data.csv,Intake data,146,11826,190,1.61,1.61,0.00% - 12.33%,69,81
1991_eatdis_yogurt,assay-intake_data.csv,Questionnaire data,14,1134,22,1.94,1.94,0.00% - 64.29%,69,80
1991_eatdis_yogurt,assay-intake_data.csv,Total intake variables,1,81,11,13.58,13.58,0.00% - 100.00%,70,70
1991_eatdis_yogurt,assay-vas_dat.csv,All data,19,12312,265,2.15,2.15,0.00% - 73.68%,590,625
1991_eatdis_yogurt,assay-vas_dat.csv,Questionnaire data,19,12312,265,2.15,2.15,0.00% - 73.68%,590,625
1991_ivig_preload,assay-demo_data.csv,All data,10,120,0,0,0,0.00% - 0.00%,12,12
1991_ivig_preload,assay-demo_data.csv,Questionnaire data,4,48,0,0,0,0.00% - 0.00%,12,12
1991_ivig_preload,exp-ivig_assay-cck_data.csv,All data,4,1008,54,5.36,5.36,0.00% - 25.00%,198,198
1991_ivig_preload,exp-ivig_assay-cck_data.csv,Questionnaire data,3,756,0,0,0,0.00% - 0.00%,252,252
1991_ivig_preload,exp-ivig_assay-dinner_data.csv,All data,66,3564,1,0.03,0.03,0.00% - 1.52%,53,54
1991_ivig_preload,exp-ivig_assay-dinner_data.csv,Intake data,61,3294,0,0,0,0.00% - 0.00%,54,54
1991_ivig_preload,exp-ivig_assay-dinner_data.csv,Questionnaire data,5,270,1,0.37,0.37,0.00% - 20.00%,53,53
1991_ivig_preload,exp-ivig_assay-lunch_data.csv,All data,101,5454,0,0,0,0.00% - 0.00%,54,54
1991_ivig_preload,exp-ivig_assay-lunch_data.csv,Intake data,96,5184,0,0,0,0.00% - 0.00%,54,54
1991_ivig_preload,exp-ivig_assay-lunch_data.csv,Questionnaire data,5,270,0,0,0,0.00% - 0.00%,54,54
1991_ivig_preload,exp-ivig_assay-rating_data.csv,All data,11,10296,2134,20.73,20.73,0.00% - 63.64%,302,302
1991_ivig_preload,exp-ivig_assay-rating_data.csv,Questionnaire data,11,10296,2134,20.73,20.73,0.00% - 63.64%,302,302
1991_ivig_preload,exp-yogurtsss_assay-intake_data.csv,All data,107,3210,98,3.05,3.05,0.93% - 5.61%,0,30
1991_ivig_preload,exp-yogurtsss_assay-intake_data.csv,Intake data,101,3030,78,2.57,2.57,0.00% - 4.95%,8,30
1991_ivig_preload,exp-yogurtsss_assay-intake_data.csv,Questionnaire data,5,150,0,0,0,0.00% - 0.00%,30,30
1991_ivig_preload,exp-yogurtsss_assay-rating_data.csv,All data,19,684,109,15.94,15.94,0.00% - 47.37%,23,24
1991_ivig_preload,exp-yogurtsss_assay-rating_data.csv,Intake data,2,72,24,33.33,33.33,0.00% - 100.00%,24,24
1991_ivig_preload,exp-yogurtsss_assay-rating_data.csv,Questionnaire data,19,684,109,15.94,15.94,0.00% - 47.37%,23,24
1992_eatdis_deprivation,assay-demo_data.csv,All data,13,637,197,30.93,30.93,0.00% - 76.92%,3,6
1992_eatdis_deprivation,assay-demo_data.csv,Questionnaire data,9,441,123,27.89,27.89,0.00% - 77.78%,9,24
1992_eatdis_deprivation,assay-intake_data.csv,All data,91,8918,15,0.17,0.17,0.00% - 4.40%,87,98
1992_eatdis_deprivation,assay-intake_data.csv,Intake data,55,5390,0,0,0,0.00% - 0.00%,98,98
1992_eatdis_deprivation,assay-intake_data.csv,Questionnaire data,28,2744,10,0.36,0.36,0.00% - 7.14%,89,98
1992_eatdis_deprivation,assay-intake_data.csv,Total intake variables,2,196,0,0,0,0.00% - 0.00%,98,98
1992_eatdis_deprivation,sub-0343_assay-microstructure_cond-control.csv,All data,10,890,0,0,0,0.00% - 0.00%,89,89
1992_eatdis_deprivation,sub-0343_assay-microstructure_cond-control.csv,Questionnaire data,4,356,0,0,0,0.00% - 0.00%,89,89
1992_eatdis_deprivation,sub-0343_assay-microstructure_cond-deprivaiton.csv,All data,10,400,0,0,0,0.00% - 0.00%,40,40
