file_path,file_name,study_folder,file_type
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1988_whole_vs_parts/data/assay-intake_data.csv",assay-intake_data.csv,1988_whole_vs_parts,intake
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-hunger_data.csv",assay-hunger_data.csv,1990_eatdis_salad_preload,ratings
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",assay-intake_cond-highcal_data.csv,1990_eatdis_salad_preload,intake
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-sss_calc-diff_data.csv",assay-sss_calc-diff_data.csv,1990_eatdis_salad_preload,sss
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sociofeed_dannys_dinner/data/assay-intake_data.csv",assay-intake_data.csv,1990_sociofeed_dannys_dinner,intake
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sss_age_yogurt/data/assay-demo_data.csv",assay-demo_data.csv,1990_sss_age_yogurt,demographics
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sss_age_yogurt/data/assay-foodpref_data.csv",assay-foodpref_data.csv,1990_sss_age_yogurt,food_preference
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sss_age_yogurt/data/assay-sss_data.csv",assay-sss_data.csv,1990_sss_age_yogurt,sss
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_sss_age_yogurt/data/assay-upsit_data.csv",assay-upsit_data.csv,1990_sss_age_yogurt,smell
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis/data/assay-demo_data.csv",assay-demo_data.csv,1991_eatdis,demographics
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis/data/assay-questionnaire_data.csv",assay-questionnaire_data.csv,1991_eatdis,questionnaire
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis/data/study-cafeteria_assay-intake_data.csv",study-cafeteria_assay-intake_data.csv,1991_eatdis,intake
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis/data/study-cafeteria_calc-timedif_data.csv",study-cafeteria_calc-timedif_data.csv,1991_eatdis,timing
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis/data/study-foodpref_assay-foodq_data.csv",study-foodpref_assay-foodq_data.csv,1991_eatdis,questionnaire
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis/data/study-foodpref_calc-foodinfo_data.csv",study-foodpref_calc-foodinfo_data.csv,1991_eatdis,food_preference
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis/data/study-foodpref_calc-preference_data.csv",study-foodpref_calc-preference_data.csv,1991_eatdis,food_preference
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis/data/study-smell_data.csv",study-smell_data.csv,1991_eatdis,smell
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis_hourly/data/assay-vas_data.csv",assay-vas_data.csv,1991_eatdis_hourly,ratings
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis_yogurt/data/assay-intake_data.csv",assay-intake_data.csv,1991_eatdis_yogurt,intake
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_eatdis_yogurt/data/assay-vas_dat.csv",assay-vas_dat.csv,1991_eatdis_yogurt,ratings
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_ivig_preload/data/assay-demo_data.csv",assay-demo_data.csv,1991_ivig_preload,demographics
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_ivig_preload/data/exp-ivig_assay-cck_data.csv",exp-ivig_assay-cck_data.csv,1991_ivig_preload,cck
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_ivig_preload/data/exp-ivig_assay-dinner_data.csv",exp-ivig_assay-dinner_data.csv,1991_ivig_preload,intake
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_ivig_preload/data/exp-ivig_assay-lunch_data.csv",exp-ivig_assay-lunch_data.csv,1991_ivig_preload,intake
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1991_ivig_preload/data/exp-ivig_assay-rating_data.csv",exp-ivig_assay-rating_data.csv,1991_ivig_preload,ratings
