study_folder,file_name,data_group,n_variables,total_data_points,total_missing,percent_missing_overall,percent_data_present,mean_percent_missing_participant,range_percent_missing_participant,complete_cases,participants_85_percent_complete
1988_whole_vs_parts,assay-intake_data.csv,Intake variables,3,306,0,0,100,0,0% - 0%,51,51
1988_whole_vs_parts,assay-intake_data.csv,Questionnaire data,12,1224,0,0,100,0,0% - 0%,51,51
1988_whole_vs_parts,assay-intake_data.csv,Other data,3,306,0,0,100,0,0% - 0%,51,51
1990_eatdis_salad_preload,assay-hunger_data.csv,Questionnaire data,1,324,0,0,100,0,0% - 0%,28,28
1990_eatdis_salad_preload,assay-hunger_data.csv,Other data,4,1296,0,0,100,0,0% - 0%,28,28
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,Questionnaire data,40,4320,4,0.09,99.91,0.09,0% - 1.25%,24,27
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,Other data,4,432,0,0,100,0,0% - 0%,27,27
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,Questionnaire data,45,3645,135,3.7,96.3,3.7,3.7% - 3.7%,0,27
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,Other data,3,243,0,0,100,0,0% - 0%,27,27
1990_sociofeed_dannys_dinner,assay-intake_data.csv,Intake variables,15,2400,0,0,100,0,0% - 0%,80,80
1990_sociofeed_dannys_dinner,assay-intake_data.csv,Macronutrient data,51,8160,0,0,100,0,0% - 0%,80,80
1990_sociofeed_dannys_dinner,assay-intake_data.csv,Questionnaire data,18,2880,158,5.49,94.51,5.49,0% - 100%,67,76
1990_sociofeed_dannys_dinner,assay-intake_data.csv,Other data,24,3840,49,1.28,98.72,1.33,0% - 13.04%,63,80
1990_sss_age_yogurt,assay-demo_data.csv,Questionnaire data,7,672,0,0,100,0,0% - 0%,96,96
1990_sss_age_yogurt,assay-demo_data.csv,Other data,9,864,0,0,100,0,0% - 0%,96,96
1990_sss_age_yogurt,assay-foodpref_data.csv,Questionnaire data,130,12480,361,2.89,97.11,2.89,0% - 43.08%,69,89
1990_sss_age_yogurt,assay-foodpref_data.csv,Other data,4,384,6,1.56,98.44,2.08,0% - 33.33%,90,90
1990_sss_age_yogurt,assay-sss_data.csv,Questionnaire data,107,20544,27,0.13,99.87,0.13,0% - 1.4%,81,96
1990_sss_age_yogurt,assay-sss_data.csv,Other data,5,960,7,0.73,99.27,0.91,0% - 25%,92,93
1990_sss_age_yogurt,assay-upsit_data.csv,Questionnaire data,2,192,0,0,100,0,0% - 0%,96,96
1990_sss_age_yogurt,assay-upsit_data.csv,Other data,44,4224,10,0.24,99.76,0.24,0% - 6.98%,89,96
1991_eatdis,assay-demo_data.csv,Questionnaire data,1,180,0,0,100,0,0% - 0%,90,90
1991_eatdis,assay-demo_data.csv,Other data,13,2340,613,26.2,73.8,28.38,4.17% - 75%,0,28
1991_eatdis,assay-questionnaire_data.csv,Questionnaire data,14,2408,1434,59.55,40.45,59.55,42.86% - 78.57%,0,0
1991_eatdis,assay-questionnaire_data.csv,Other data,3,516,0,0,100,0,0% - 0%,43,43
1991_eatdis,study-cafeteria_assay-intake_data.csv,Intake variables,2,172,1,0.58,99.42,0.58,0% - 25%,42,42
1991_eatdis,study-cafeteria_assay-intake_data.csv,Macronutrient data,6,516,0,0,100,0,0% - 0%,43,43
1991_eatdis,study-cafeteria_assay-intake_data.csv,Questionnaire data,52,4472,0,0,100,0,0% - 0%,43,43
1991_eatdis,study-cafeteria_assay-intake_data.csv,Other data,8,688,0,0,100,0,0% - 0%,43,43
1991_eatdis,study-cafeteria_calc-timedif_data.csv,Questionnaire data,1,43,0,0,100,0,0% - 0%,43,43
1991_eatdis,study-cafeteria_calc-timedif_data.csv,Other data,15,645,0,0,100,0,0% - 0%,43,43
1991_eatdis,study-foodpref_assay-foodq_data.csv,Questionnaire data,101,14140,127,0.9,99.1,0.9,0% - 17.82%,57,69
1991_eatdis,study-foodpref_assay-foodq_data.csv,Other data,3,420,0,0,100,0,0% - 0%,70,70
1991_eatdis,study-foodpref_calc-foodinfo_data.csv,Questionnaire data,6,300,68,22.67,77.33,,,,
1991_eatdis,study-foodpref_calc-preference_data.csv,Questionnaire data,13,1820,0,0,100,0,0% - 0%,70,70
1991_eatdis,study-foodpref_calc-preference_data.csv,Other data,3,420,0,0,100,0,0% - 0%,70,70
1991_eatdis,study-smell_data.csv,Questionnaire data,2,284,0,0,100,0,0% - 0%,71,71
1991_eatdis,study-smell_data.csv,Other data,10,1420,242,17.04,82.96,18.94,0% - 38.89%,19,19
1991_eatdis_hourly,assay-vas_data.csv,Questionnaire data,145,16095,535,3.32,96.68,3.01,0% - 20%,10,39
1991_eatdis_hourly,assay-vas_data.csv,Other data,2,222,0,0,100,0,0% - 0%,40,40
1991_eatdis_yogurt,assay-intake_data.csv,Intake variables,26,2106,34,1.61,98.39,1.61,0% - 11.54%,21,27
