study_folder,file_name,variable_name,file_type,variable_group
1988_whole_vs_parts,assay-intake_data.csv,cond,intake,other
1988_whole_vs_parts,assay-intake_data.csv,desire_eat_post,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,desire_eat_pre,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,desire_eat_screen,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,fullness_post,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,fullness_pre,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,hunger_post,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,hunger_pre,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,id,intake,other
1988_whole_vs_parts,assay-intake_data.csv,much_eat_post,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,much_eat_pre,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,sandwich_g,intake,intake
1988_whole_vs_parts,assay-intake_data.csv,sandwich_kcal,intake,intake
1988_whole_vs_parts,assay-intake_data.csv,session,intake,other
1988_whole_vs_parts,assay-intake_data.csv,taste_screen,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,thirst_post,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,thirst_pre,intake,questionnaire
1988_whole_vs_parts,assay-intake_data.csv,water_g,intake,intake
1990_eatdis_salad_preload,assay-hunger_data.csv,cond,ratings,questionnaire
1990_eatdis_salad_preload,assay-hunger_data.csv,group,ratings,questionnaire
1990_eatdis_salad_preload,assay-hunger_data.csv,hunger,ratings,questionnaire
1990_eatdis_salad_preload,assay-hunger_data.csv,id,ratings,questionnaire
1990_eatdis_salad_preload,assay-hunger_data.csv,time,ratings,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,appearance_apple,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,appearance_chips,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,appearance_cookie,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,appearance_cottage_cheese,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,appearance_hed_salad,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,appearance_led_salad,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,appearance_snickers,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,appearance_turkey,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,cond,intake,other
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,desire_apple,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,desire_chips,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,desire_cookie,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,desire_cottage_cheese,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,desire_hed_salad,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,desire_led_salad,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,desire_snickers,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,desire_turkey,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,group,intake,other
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,id,intake,other
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,odor_apple,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,odor_chips,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,odor_cookie,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,odor_cottage_cheese,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,odor_hed_salad,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,odor_led_salad,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,odor_snickers,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,odor_turkey,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,taste_apple,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,taste_chips,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,taste_cookie,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,taste_cottage_cheese,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,taste_hed_salad,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,taste_led_salad,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,taste_snickers,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,taste_turkey,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,texture_apple,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,texture_chips,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,texture_cookie,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,texture_cottage_cheese,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,texture_hed_salad,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,texture_led_salad,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,texture_snickers,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,texture_turkey,intake,questionnaire
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,time,intake,other
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,cond,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_apple,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_chips,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_cookie,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_cottage_cheese,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_hed_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_led_salad,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_snickers,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_appearance_turkey,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_apple,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_chips,sss,questionnaire
1990_eatdis_salad_preload,assay-sss_calc-diff_data.csv,dif_desire_cookie,sss,questionnaire
